id,lemma,pos
oewn-Tyndall_effect-n,Tyndall effect,n
oewn-tailwind-n,tailwind,n
oewn-temperateness-n,temperateness,n
oewn-tempest-n,tempest,n
oewn-tension-n,tension,n
oewn-thaw-n,thaw,n
oewn-thawing-n,thawing,n
oewn-the_Flood-n,the Flood,n
oewn-thermal-n,thermal,n
oewn-thermal_conductivity-n,thermal conductivity,n
oewn-thermionic_current-n,thermionic current,n
oewn-thermoelectricity-n,thermoelectricity,n
oewn-theta_rhythm-n,theta rhythm,n
oewn-theta_wave-n,theta wave,n
oewn-thrust-n,thrust,n
oewn-thunderbolt-n,thunderbolt,n
oewn-thundershower-n,thundershower,n
oewn-thunderstorm-n,thunderstorm,n
oewn-tobacco_smoke-n,tobacco smoke,n
oewn-torchlight-n,torchlight,n
oewn-tornado-n,tornado,n
oewn-torque-n,torque,n
oewn-torrent-n,torrent,n
oewn-torsion-n,torsion,n
oewn-toss-up-n,toss-up,n
oewn-tossup-n,tossup,n
oewn-traction-n,traction,n
oewn-trade-n,trade,n
oewn-trade_wind-n,trade wind,n
oewn-trajectory-n,trajectory,n
oewn-tramontana-n,tramontana,n
oewn-tramontane-n,tramontane,n
oewn-transgression-n,transgression,n
oewn-transparence-n,transparence,n
oewn-transparency-n,transparency,n
oewn-trichroism-n,trichroism,n
oewn-turbulence-n,turbulence,n
oewn-turbulency-n,turbulency,n
oewn-turbulent_flow-n,turbulent flow,n
oewn-twilight-n,twilight,n
oewn-twister-n,twister,n
oewn-typhoon-n,typhoon,n
oewn-Moon-n,Moon,n
oewn-macula-n,macula,n
oewn-magnetic_attraction-n,magnetic attraction,n
oewn-magnetic_dipole_moment-n,magnetic dipole moment,n
oewn-magnetic_energy-n,magnetic energy,n
oewn-magnetic_field-n,magnetic field,n
oewn-magnetic_flux-n,magnetic flux,n
oewn-magnetic_force-n,magnetic force,n
oewn-magnetic_line_of_force-n,magnetic line of force,n
oewn-magnetic_moment-n,magnetic moment,n
oewn-magnetic_resonance-n,magnetic resonance,n
oewn-magnetism-n,magnetism,n
oewn-magnetomotive_force-n,magnetomotive force,n
oewn-magnetosphere-n,magnetosphere,n
oewn-mass_defect-n,mass defect,n
oewn-mass_deficiency-n,mass deficiency,n
oewn-mass_spectrum-n,mass spectrum,n
oewn-mechanical_energy-n,mechanical energy,n
oewn-mechanical_phenomenon-n,mechanical phenomenon,n
oewn-mechanical_power-n,mechanical power,n
oewn-mechanical_stress-n,mechanical stress,n
oewn-medium_wave-n,medium wave,n
oewn-metagenesis-n,metagenesis,n
oewn-metallic_bond-n,metallic bond,n
oewn-metempsychosis-n,metempsychosis,n
oewn-meteor-n,meteor,n
oewn-meteor_shower-n,meteor shower,n
oewn-meteor_stream-n,meteor stream,n
oewn-microwave-n,microwave,n
oewn-microwave_spectrum-n,microwave spectrum,n
oewn-midnight_sun-n,midnight sun,n
oewn-mirage-n,mirage,n
oewn-mischance-n,mischance,n
oewn-mishap-n,mishap,n
oewn-mist-n,mist,n
oewn-mistral-n,mistral,n
oewn-mizzle-n,mizzle,n
oewn-mock_sun-n,mock sun,n
oewn-moderate_breeze-n,moderate breeze,n
oewn-moderate_gale-n,moderate gale,n
oewn-moment-n,moment,n
oewn-moment_of_a_couple-n,moment of a couple,n
oewn-moment_of_a_magnet-n,moment of a magnet,n
oewn-moment_of_inertia-n,moment of inertia,n
oewn-monsoon-n,monsoon,n
oewn-moon_ray-n,moon ray,n
oewn-moon-ray-n,moon-ray,n
oewn-moonbeam-n,moonbeam,n
oewn-moonlight-n,moonlight,n
oewn-moonshine-n,moonshine,n
oewn-mortification-n,mortification,n
oewn-mother_lode-n,mother lode,n
oewn-motion-n,motion,n
oewn-movement-n,movement,n
oewn-mushroom-n,mushroom,n
oewn-mushroom_cloud-n,mushroom cloud,n
oewn-mushroom-shaped_cloud-n,mushroom-shaped cloud,n
oewn-mutual_induction-n,mutual induction,n
oewn-myonecrosis-n,myonecrosis,n
